id,restaurant_name,menu_item,Calories,Carbs,Protein,Fat,restaurant_id
0,Qdoba Mexican Eats,Create Your Own Bowl,320,40,20,12,0
1,Qdoba Mexican Eats,Create Your Own Burrito,615,70,25,22,0
2,Qdoba Mexican Eats,3-Cheese Queso & Chips,890,85,15,54,0
3,Qdoba Mexican Eats,Create Your Own Quesadilla,840,50,35,55,0
4,Qdoba Mexican Eats,Hand-Crafted Guacamole & Chips,820,100,10,42,0
5,Qdoba Mexican Eats,Create Your Own 3 Tacos,600,50,35,25,0
6,Qdoba Mexican Eats,Create Your Own Taco,130,15,8,5,0
7,Qdoba Mexican Eats,Create Your Own 3-Cheese Nachos,740,83,22,35,0
8,Qdoba Mexican Eats,Create Your Own Cheese-Crusted Quesadilla,955,60,35,60,0
9,Qdoba Mexican Eats,Burrito Meal Deal,1150,150,35,40,0
10,Qdoba Mexican Eats,Queso Diablo & Chips,910,100,15,49,0
11,Qdoba Mexican Eats,Create Your Own Salad,300,20,20,15,0
12,Qdoba Mexican Eats,Salsa & Chips,630,80,8,30,0
13,Qdoba Mexican Eats,IT's BACK! Cup of Tortilla Soup,120,15,3,5,0
14,Qdoba Mexican Eats,QuesaBirria Burrito,980,105,40,40,0
15,Qdoba Mexican Eats,Southwest Steak Burrito,1110,106,54,47,0
16,Qdoba Mexican Eats,QuesaBirria Quesadilla,1090,60,50,67,0
17,Qdoba Mexican Eats,Cholula® Hot & Sweet Chicken Bowl,590,71,35,18,0
18,Qdoba Mexican Eats,Steak Fajita Quesadilla,1170,98,65,60,0
19,Qdoba Mexican Eats,Quesadilla Kids Meal,435,42,22,20,0
20,Qdoba Mexican Eats,Create Your Own Bowl,320,35,20,12,0
21,Qdoba Mexican Eats,Hand-Crafted Guacamole & Chips,820,100,10,42,0
22,Qdoba Mexican Eats,3-Cheese Queso & Chips,890,85,15,57,0
23,Qdoba Mexican Eats,QuesaBirria Burrito,980,105,50,35,0
24,Qdoba Mexican Eats,Queso Diablo & Chips,910,100,20,50,0
25,Qdoba Mexican Eats,QuesaBirria Quesadilla,1090,90,50,60,0
26,Qdoba Mexican Eats,IT'S BACK! Create Your Own Loaded Tortilla Soup,605,50,35,25,0
27,Qdoba Mexican Eats,Create Your Own Brisket Birria Burrito,320,35,20,10,0
28,Qdoba Mexican Eats,Family Meals (Serves 4-5),9640,1300,350,350,0
29,Qdoba Mexican Eats,Taco Kit (Serves 10),8680,820,460,410,0
30,Qdoba Mexican Eats,Drinks by the Gallon,1710,448,0,0,0
31,Qdoba Mexican Eats,Chips & Dip Party packs,8250,1100,150,370,0
32,Qdoba Mexican Eats,Mega Burrito 10-Pack,10290,1300,600,350,0
33,Qdoba Mexican Eats,Create Your Own Bowl,320,30,20,12,0
34,Qdoba Mexican Eats,Chicken Protein Bowl,670,34,60,30,0
35,Qdoba Mexican Eats,Create Your Own Mini Bowl,205,25,10,7,0
36,Qdoba Mexican Eats,Fajita Vegan Bowl,530,88,14,14,0
37,Qdoba Mexican Eats,Chicken Queso Bowl,740,89,41,23,0
38,Qdoba Mexican Eats,Cholula® Hot & Sweet Chicken Bowl,590,65,35,20,0
39,Qdoba Mexican Eats,IT'S BACK! Create Your Own Loaded Tortilla Soup,605,60,25,30,0
40,Qdoba Mexican Eats,Create Your Own Burrito,615,85,25,20,0
41,Qdoba Mexican Eats,QuesaBirria Burrito,980,105,40,45,0
42,Qdoba Mexican Eats,Burrito Meal Deal,1150,150,40,35,0
43,Qdoba Mexican Eats,Chicken Queso Burrito,1040,105,60,40,0
44,Qdoba Mexican Eats,Cholula® Hot & Sweet Chicken Burrito,890,100,40,35,0
45,Qdoba Mexican Eats,Southwest Steak Burrito,1110,103,40,60,0
46,Qdoba Mexican Eats,Create Your Own Quesadilla,840,50,35,55,0
47,Qdoba Mexican Eats,QuesaBirria Quesadilla,1080,50,40,70,0
48,Qdoba Mexican Eats,Create Your Own Cheese-Crusted Quesadilla,955,50,35,60,0
49,Qdoba Mexican Eats,Create Your Own 3-Cheese Nachos,735,80,20,35,0
50,Qdoba Mexican Eats,Steak Fajita Quesadilla,1170,104,63,53,0
51,Qdoba Mexican Eats,Create Your Own Salad,300,20,20,15,0
