id,resturant_name,menu_item,item_description
0,Qdoba Mexican Eats,Create Your Own Bowl,"Choice of protein, rice, beans, flavorful salsas, sauces, and toppings. Top it with guacamole and queso for FREE! [Cal 310-330]"
1,Qdoba Mexican Eats,Create Your Own Burrito,"Choice of protein, rice, beans, flavorful salsas, sauces, and toppings in a warm tortilla.  Top it with guacamole and queso for FREE! [Cal 590-640]"
2,Qdoba Mexican Eats,3-Cheese Queso & Chips,"Our signature 3-Cheese Queso, served with freshly fried tortilla chips seasoned with salt and lime. [Cal 890]"
3,Qdoba Mexican Eats,Create Your Own Quesadilla,"Choice of protein, flavorful salsas, sauces and toppings, served in a grilled tortilla. Cheese included. Served with hand-crafted guacamole and sour cream. Add queso for FREE! [Cal 830-850]"
4,Qdoba Mexican Eats,Hand-Crafted Guacamole & Chips,"Hand-crafted guacamole made-in-house daily, served with freshly fried tortilla chips seasoned with salt and lime. [Cal 740-900]"
5,Qdoba Mexican Eats,Create Your Own 3 Tacos,"Create your own taco trio with choice of protein, flavorful salsas, sauces and toppings, served in flour or soft corn tortillas. Top it with guacamole and queso for FREE! [Cal 170-210]"
6,Qdoba Mexican Eats,Create Your Own Taco,"Customize the perfect taco, with your choice of protein, tortilla, salsa, and flavorful toppings. [Cal 60-200]"
7,Qdoba Mexican Eats,Create Your Own 3-Cheese Nachos,"Freshly made tortilla chips topped with queso, protein, flavorful salsas, sauces, and toppings. Chips served on the side to keep them crispy. Top it with guacamole and queso for FREE! [Cal 730-740]"
8,Qdoba Mexican Eats,Create Your Own Cheese-Crusted Quesadilla,"Golden cheese-crusted tortilla packed with your choice of protein, melted cheese, flavorful salsas, sauces, and toppings. Served with a side of hand-crafted guacamole and sour cream. [Cal 940-970]"
9,Qdoba Mexican Eats,Burrito Meal Deal,"Our Meal Deals are easy and flavorful. Each meal includes a burrito with your choice of protein, rice & beans, pico de gallo and cheese, served with  freshly made tortilla chips and salsa, and a sweet treat. Great for individuals or small groups. [Cal 940-1350]"
10,Qdoba Mexican Eats,Queso Diablo & Chips,"Our spicy signature Queso Diablo, served with freshly fried tortilla chips seasoned with salt and lime. Spice level 3/4. [Cal 910]"
11,Qdoba Mexican Eats,Create Your Own Salad,"Choice of protein, flavorful salsas, toppings and a signature dressing served on fresh romaine lettuce. Top it with guacamole and queso for FREE! [Cal 100-500]"
12,Qdoba Mexican Eats,Salsa & Chips,"Choice of salsa, served with freshly fried  tortilla chips seasoned with salt and lime. [Cal 580-680]"
13,Qdoba Mexican Eats,IT's BACK! Cup of Tortilla Soup,Back for a limited time! Tortilla Soup topped with tortilla strip and a drizzle of sour cream. [Cal 120]
14,Qdoba Mexican Eats,QuesaBirria Burrito,"Brisket Birria, shredded beef slow-cooked in chiles and garlic, with 3-Cheese Queso, shredded cheese, pico de gallo, salsa roja, cilantro lime rice and black beans wrapped in a warm flour tortilla. [Cal 980]For additional ingredients or substitutions, please order a Create Your Own Entree."
15,Qdoba Mexican Eats,Southwest Steak Burrito,"Grilled steak, chile crema, chile corn salsa, and crunchy tortilla strips with cilantro lime rice and black beans wrapped in a warm flour tortilla. [Cal 1110]For additional ingredients or substitutions, please order a Create Your Own Entree."
16,Qdoba Mexican Eats,QuesaBirria Quesadilla,"Brisket Birria, shredded beef slow-cooked in chiles and garlic, with 3-Cheese Queso, shredded cheese and pico de gallo, in a flour tortilla. Served with a side of hand-crafted guacamole and sour cream. [Cal 1090]For additional ingredients or substitutions, please order a Create Your Own Entree."
17,Qdoba Mexican Eats,Cholula® Hot & Sweet Chicken Bowl,"Cholula® Hot & Sweet Chicken with pico de gallo, cilantro lime rice, black beans, sour cream, and cotija cheese. [Cal 590]For additional ingredients or substitutions, please order a Create Your Own Entree."
18,Qdoba Mexican Eats,Steak Fajita Quesadilla,"Grilled steak, grilled fajita veggies, pico de gallo, salsa roja and shredded 3-cheese blend grilled to perfection in a flour or whole wheat tortilla. Served with hand-crafted guac and sour cream. [Cal 1170]For additional ingredients or substitutions, please order a Create Your Own Entree."
19,Qdoba Mexican Eats,Quesadilla Kids Meal,"Kids-sized quesadilla with choice of protein and toppings, plus a side of applesauce, beans, or tortilla chips, and a drink.  [Cal 370-500]"
20,Qdoba Mexican Eats,Create Your Own Bowl,"Choice of protein, rice, beans, flavorful salsas, sauces, and toppings. Top it with guacamole and queso for FREE! [Cal 310-330]"
