id,restaurant_name,address,longitude,latitude
0,Qdoba Mexican Eats,"1908 N Atherton St, State College, PA 16803","-77.9051","40.8087261"
1,Subway,"829 North University Drive, University Park, PA 16802","-77.85728662","40.80641445"
2,Cracker Barrel Old Country Store,"215 Colonnade Blvd, State College, PA 16803","-77.9004102","40.8164866"
3,Starbucks,"232 West College Avenue, State College, PA 16801","-77.8636023","40.7928932"
4,Kokoro,"404 East Calder Way, State College, PA 16801","-77.8561817","40.7974504"
5,Bradley's Cheesesteaks & Hoagies,"1669 N Atherton St, State College, PA 16803","-77.89667","40.80837"
6,Justice Chicken,"218 E Calder Way, State College, PA 16801","-77.85934","40.79527"
7,Cinnabon,"324 East College Avenue, State College, PA 16801","-77.857834","40.79694"
8,Hibachi Express,"320 East College Avenue, State College, PA 16801","-77.8579558","40.7968873"
9,HiWay Pizza Pub,"1301 W College Ave, State College, PA 16801","-77.8752629","40.7841796"
10,Uncle Chen's Chinese Restaurant,"430 E Calder Way, State College, PA 16801","-77.8551702","40.7975788"
11,Chipotle Mexican Grill,"116 Heister St, State College, PA 16801","-77.8568925","40.7968932"
12,Taco Bell,"100 Rolling Ridge Dr, State College, PA 16801","-77.8290782","40.7849234"
13,Osaka,"450 E College Ave, State College, PA 16801","-77.8555944","40.7988918"
14,McDonald's®,"2167 S Atherton St, STATE COLLEGE, PA 16801","-77.8300052","40.7852096"
15,mezeh,"348 East Calder Way, State College, PA 16801","-77.8569292","40.7971032"
16,Domino's Pizza,540 Westerly PA,"-77.85352","40.78184"
17,Chapo's Tacos,"217 Mcallister Alley, State College, PA 16801","-77.85853","40.79497"
18,Lion Coffee,"404 East Calder Way, State College, PA 16801","-77.8562159","40.7974833"
19,Miss Mazy's Amazin' Chicken,"218 East Calder Way, State College, PA 16801","-77.8593889","40.7953064"
20,The Ice Cream Shop,"459 East Calder Way, State College, PA 16801","-77.85539","40.7987"
21,Pita Cabana Grill,"334 E Calder Way, State College, PA 16801","-77.8573238","40.7968047"
22,Perkins Restaurant & Bakery,"525 Benner Pike, State College, PA 16801","-77.803158","40.8341862"
23,Lupitas Authentic Mexican Food,"312 West Beaver Avenue, State College, PA 16801","-77.86287","40.79134"
24,IHOP,"1661 S Atherton St, State College, PA 16801","-77.8349345","40.7855721"
25,Get Loaded,"130 Hiester St, State College, PA 16801","-77.85688","40.7967"
26,Dairy Queen Grill & Chill,"310 W Aaron Dr, State College, PA 16803","-77.8921514","40.805984"
27,Underground Burger and Crepe,"218 E Calder Way, State College, PA 16801","-77.8593995","40.7953243"
28,Wings Over,"244 W Hamilton Ave, State College, PA 16801","-77.8565481","40.7874235"
29,Snap Custom Pizza,"132 West College Avenue, State College, PA 16801","-77.8625202","40.793719"
30,Lychee Restaurant #2,"1341 South Atherton Street #4, State College, PA 16801","-77.84275","40.78505"
31,Xi'an Grill,"432 East College Avenue, State College, PA 16801","-77.8562661","40.7983133"
32,Honey Baked Ham,"1724 S Atherton St, State College, PA 16801","-77.8345967","40.7845264"
33,Canyon Pizza,"219 East Beaver Avenue, State College, PA 16801","-77.8585152","40.7948587"
34,Secret Buns,"218 East Calder Way, State College, PA 16801","-77.8593849","40.795326"
35,Halal Vessel,"218 East Calder Way, State College, PA 16801","-77.8593933","40.7953122"
36,Smash Falafel,"334 E Calder Way, State College, PA 16801","-77.85747","40.79679"
37,Primanti Bros.,"130 Hiester St, State College, PA 16801","-77.8567422","40.7967317"
38,Fuji Jade Garden & My Thai,"287 Northland Center, State College, PA 16803","-77.88813","40.80349"
39,Five Guys,"226 W. College Ave., State College, PA 16801","-77.8628114","40.7926976"
40,Federal Taphouse,"130 S Fraser St, Suite #200, State College, PA 16801","-77.8620679","40.7927595"
41,The Whale Tea PennState,"262 East Beaver Avenue, State College, PA 16801","-77.8575036","40.7953584"
42,Tostada Time,"217 Mcallister Alley, State College, PA 16801","-77.85907","40.79522"
43,Absolute Wings,"218 East Calder Way, State College, PA 16801","-77.85936","40.79514"
44,Papa Johns Pizza,"1341 S Atherton St, State College, PA 16801","-77.84273","40.7849589"
45,DP Dough,"401 E Beaver Ave, State College, PA 16801","-77.8559971","40.7972026"
46,Pardon My Cheesesteak,"1661 S. Atherton Street, STATE COLLEGE, PA 16801-6210","-77.8349343","40.7855698"
47,Roots Natural Kitchen,"270 East Beaver Avenue, State College, PA 16801","-77.8574778","40.7953885"
48,Wendy's,"521 University Drive, State College, PA 16801","-77.8482535","40.7997421"
49,KFC,"1780 South Atherton Street, State College, PA 16801","-77.8338936","40.7847532"
50,Brooklyn Calzones,"231 Northland Center, State College, PA 16803","-77.88605","40.80255"
51,Jersey Mike's,"2135 South Atherton Street, College, PA 16801","-77.8303353","40.7857003"
52,Panera,"148 South Allen Street, State College, PA 16801","-77.86066","40.7932342"
53,Panda Express,"1870 N Atherton St, State College, PA 16803","-77.9042739","40.8086389"
54,Noodles & Company,"244 W College Ave, State College, PA 16801","-77.8636465","40.7927444"
55,18th Street Pizza,"130 Hiester St, State College, PA 16801","-77.85694","40.79671"
56,Burger King,"2501 East College Ave, State College, PA 16801","-77.8090026","40.8269414"
57,Applebee's,"12 Colonnade Way, State College, PA 16803","-77.9047258","40.8103757"
58,"Prospectors, Mount Nittany Rib Company","333 Benner Pike Shops, State College, PA 16801","-77.8092348","40.8315059"
59,Sheetz,"120 South Ridge Plaza, State College, PA 16801","-77.8318804","40.7842732"
60,MrBeast Burger,"218 East Calder Way, State College, PA 16801","-77.8593862","40.7953095"
61,Playa Bowls,"482 East Calder Way, State College, PA 16801","-77.854358","40.7987831"
62,Beijing Restaurant,"452 E College Ave, State College, PA 16801","-77.8551829","40.7990455"
63,Dunkin',"1381 E College Avenue, State College, PA 16801","-77.8317777","40.8105005"
64,Red Lobster,"1670 N Atherton Street, State College, PA 16803","-77.8960298","40.8076248"
65,Wing Nut,"130 Heister St, State College, PA 16801","-77.8567213","40.7967398"
66,Quaker Steak & Lube,"501 Benner Pike, State College, PA 16801","-77.8040963","40.8341341"
67,Firebelly Wings,"218 East Calder Way, State College, PA 16801","-77.8593795","40.7953186"
68,Yallah Taco 2,"310 E College Ave, State College, PA 16801","-77.8580722","40.7967616"
